Distance:  23
Distance:  23
Distance:  23
Distance:  23
Distance:  24
Distance:  24
Distance:  24
Distance:  23
Distance:  36
Distance:  24
Distance:  24
Distance:  24
Distance:  24
Distance:  36
Distance:  36
Distance:  36
Distance:  36
Distance:  36
Distance:  24
Distance:  36
Distance:  36
Distance:  24
Distance:  24
Distance:  24
Distance:  24
Distance:  24
Distance:  24
Distance:  23
Distance:  24
Distance:  24
Distance:  24
Distance:  24
Distance:  24
Distance:  19
Distance:  2
Distance:  3
Distance:  5
Distance:  2
Distance:  3
Distance:  1
Distance:  2
Distance:  1
Distance:  3
Distance:  5
Distance:  6
Distance:  6
Distance:  5
Distance:  3
Distance:  3
Distance:  6
Distance:  7
Distance:  9
Distance:  10
Distance:  10
Distance:  9
Distance:  5
Distance:  3
Distance:  2
Distance:  2
Distance:  2
Distance:  3
Distance:  6
Distance:  7
Distance:  8
Distance:  6
Distance:  6
Distance:  8
Distance:  9
Distance:  7
Distance:  7
Distance:  5
Distance:  5
Distance:  5
Distance:  3
Distance:  5
Distance:  4
Distance:  5
Distance:  3
Distance:  7
Distance:  10
Distance:  16
Distance:  17
Distance:  17
Distance:  18
Distance:  17
Distance:  18
Distance:  18
Distance:  15
Distance:  15
Distance:  14
Distance:  9
Distance:  7
Distance:  2
Distance:  3
Distance:  28
Distance:  28
Distance:  28
Distance:  28
Distance:  28
Distance:  28
Distance:  28
Distance:  28
