left:1 middle:1 right:1
left:1 middle:1 right:1 
left:1 middle:1 right:1 
left:1 middle:1 right:1 
left:1 middle:1 right:1 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:0 middle:0 right:0 
left:1 middle:1 right:1 
left:1 middle:1 right:1 
left:1 middle:1 right:1 
left:1 middle:1 right:1 
left:1 middle:1 right:1
left:1 middle:1 right:1
left:1 middle:1 right:1
left:1 middle:1 right:1
